NAMA DESA,NAMA KABUPATEN,profil_desa
Desa Wisata Karang Tengah,Banjarnegara,"Telaga Merdada Makam Mbah Nantayudha Home Screen ( Agro Wisata )  Festival Merdada Keripik Kentang, Sirup Carica  Sendra Tari Merdada Terletak di Dataran Tinggi Dieng dengan kesejukan dan keindahan alam berupa telaga merdada  Berdasarkan kisah yang berkembang di sekitar penduduk setempat, kata Merdada di ambil dari bagian bawah Cupu Manik Astagina yaitu mardida (kisah pewayangan)."
Delta Dantana(Desa Wisata Dawuhan),Banjarnegara,"Tubing Sungai Panaraban  Kolam Renang   Nasi Jagung, Jui Kempit, Buntil, Kluban/uraban Kerajinan tangan dari limbah plastik Rodad, Kuda Kepang, Lik-likan Desa Wisata dengan sungai panaraban yang jernih dengan debit air yang tinggi dan pemandangan alam yang indah dengan suasana alam pedesaan yang masih alami. "
Dewi Gita (Desa Giritirta),Banjarnegara,"Air Terjun dan Air Panas   Wisata Agro ( wisata petiksayur )  Manisan waluh, Susu kedelai, Keripik talas Kerajinan bambu dan batu Jepin, Tari Dewi Gita dan Kuda kepang Desa wisata yang memiliki potensi wisata alamccurug genting, curug mrawu dan 2 sumber air panas, berada di pegunungan sehingga bercuaca dingin dan sejuk. "
Tuk Kumala (Desa Kalilunjar ),Banjarnegara,"Bukit Asmara Situk ( BAS ) Boyong Oyod Genggong ( Kirab Budaya ) Rumah Pohon dll  Event Uyud Genggong  Kerupuk Salak Pembuatan Tenong Kuda Kepang, Tari tradisional, Tek-tek Desa Wisata Tuk Kumala adalah desa wisata yang sedang berkembang pesat dengan daya tarik wahana istana diatas awan dengan pemandangan alam yang sangat indah dan wisata budaya tradisi yang unik yaitu boyong oyod genggong."
Candradimuka (Desa Pekasiran) ,Banjarnegara,"Sumur Jalatunda, Kawah Candradimuka, Telaga Dringo     Demplo ( Nasi jagung aneka rasa )  Kerajinan tangan dari akar pakis Rodad, Tek-tek, Pencak silat, Jepin desa yang terletak di kecamatan Batur dan masih termasuk objek wisata zona II Dieng Plateau"
Dieng Pandawa ( Dieng Kulon ) ,Banjarnegara,"Landscape Pegunungan, Kawah Sikidang, Bukit Sekoter, Bukit Pangonan Komplek Candi dan Darmasala, Ritual Pencukuran anak gembel ( Dieng Culture Festival ) Museum Kailasa Kerajinan Kayu, Agrowisata bunga kala lili dan carica DCF ( Dieng Culture Festival ) Pencukuran Rambut Gimbal Carica, Purwaceng, Sate domba dieng  Miniatur Candi, Batik Kayu Lengger, Rampak Yakso Desa yang terletak di 2093 dpl dengan suhu yang sejuk dan awan yang selalu datang dikenal dengan Negeri Atas Awan dan tempat dewa bersemayam."
Kepakisan ( Murih Raharjo),Banjarnegara,"Pemandian Air Panas , Telaga Sewiwi, Kawah Sileri      Sirup Carica  Drumband, Tek- Tek Desa yang  terletak di dataran tinggi terdapat Kawah  sileri berada di sebelah barat laut Candi Arjuna, Telaga Warna,  Telaga Sewiwi (Rest Area bagi yang berkunjung ke Dieng)."
Salamerta,Banjarnegara,"Keindahan Alam  Kuda Kepang  Wisata Religi  Nasi Krekel, Emping Melinjo Piti/ Besek Kuda Kepang Desa dengan daya tarik wisata pemandangan alam peggunungan dan kesenian kuda kepang"
"Desa Wisata Pagak, Rawa Lutung Tours",Banjarnegara,"Ekowisata, Agro wisata  Kincir Angin, Tubing, taman desa    Sroto, ampyang gulung, getuklindri, templek Dithi, pot bunga, kurungan ayam, gubeng Gumbeng Desa Wisata Pagak yang berbasis Pertanian dengan teknologi modern dan wisata edukasi serta wahana bermain"
Nimang sari Desa Glempang Kecamatann Mandiraja,Banjarnegara,"Bukit Watu Sodong, Curug Pete  Agrowisata ( durian, nanas ,jambu)   Nasi Oyek/leye, ikan Kali, Lalap/Kluban Urab Kerajinan Patung dari Semen Lengger, Kuda Lumping Desa wisata yang memiliki kebun buah yang terus berkembang menjadi daya tarik wisata agro dan wisata alam "
Dewi Sri,Banjarnegara,"Minat Khusus (Tubing, Out Bound) Wisata Edukasi    Kripik Tempe, Tahu Bakso  Tek-tek, Kuda Lumping Inisiatif masyarakat untuk mendirikan Desa Wisata karena adanya potensi wisata"
Wana Pesona (Desa Singamerta),Banjarnegara,"Agro Durian dan Salak    Festival Durian Ndirun  Pancake Durian, Kopi Durian, Jenang Durian Pembuat Cobek, Kuda Kepang, Gamelan Tek-tek Desa Wisata berbasis Agrowisata dengan unggulan Festival Durian Dirun"
Desa Pekasiran “Candradimuka”,Banjarnegara,"Tlaga Dringgo, Gua Jimat, Bukit Cemeti     Dodol cabai dieng, dodol carica Lukisan dari kulit pakis Rodad, Jepin, Tek-tek Desa wisata merupakan desa wisata alam dieng yang bebasis Industri kreatif. Terdapat Kawah  yang sering disebut-sebut dalam legenda pewayangan sebagai tempat dimana Gatutkaca dijedi (dimandikan) sehingga memiliki kesaktian yang luar biasa yaitu kawah candradimuka, trerletak kurang lebih enam Kilometer dari Kawasan Wisata Dataran Tinggi Dieng, di Desa Pekasiran Kecamatan Batur Kabupaten Banjarnegara."
Desa Wisata Bitingan,Banjarnegara,"Air Terjun Panas Sirawe, Pemandian Air Panas Alami, Sunrise Bunen
 Genen,  Lunasan Res Area Telaga Sewiwi, D’Qiano Hotsping & Water Park  Agrowisata Buah Carica, Agrowisata Buah Strawberry & Kentang  Terong Belanda, Aapem Dieng, Buntil Daun Kool, Jenang Kacang, Manisan Buah Carica Kerajinan Bambu Kenjani Kesenian Tradisional Rodad, Tek - tek, Marawis "
Desa Glempang ,Banjarnegara,"Curug pete, Bukit Watu Sodong  Panembahan Mbah Adisara (Petilasan Sunan Kalijaga)   Agrowisata Durian Montong    kerajianan besek Karawitan salah satu desa yang terletak di bagian selatan Kecamatan Mandiraja Kabupaten Banjarnegara. Batas-batas wilayah sebelah selatan dengan Desa Donorejo Kecamatan Sempor Kabupaten Kebumen. Di sebelah Barat dengan Desa Salamerta, di sebelah utara dengan Desa Purwasaba dan di sebelah timur dengan Desa Kebanaran"
Desa Majalengka,Banjarnegara,"Gunung Lanang, Wadas Tumpang  Makam Sembawa (Punthuk Domas)       "
