NAMA KABUPATEN,NAMA DESA,DAYA TARIK,DESKRIPSI,ALAMAT LENGKAP,STATUS,EVENT,MAKANAN,KERAJINAN,KESENIAN,HOMESTAY,PENGELOLA,JARAK PUSAT KOTA,KONDISI JALAN,PAPAN PENUNJUK ARAH,foto_desa
Banjarnegara,Desa Wisata Karang Tengah,Telaga Merdada,"Terletak di Dataran Tinggi Dieng dengan kesejukan dan keindahan alam berupa telaga merdada Berdasarkan kisah yang berkembang di sekitar penduduk setempat, kata Merdada di ambil dari bagian bawah Cupu Manik Astagina yaitu mardida (kisah pewayangan).","Jl. Raya Dieng, Desa Karangtengah Kecamatan Batur Kabupaten Banjarnegara",Berkembang,Festival Merdada,"Keripik Kentang, Sirup Carica",Tidak Ada,Sendra Tari Merdada,"5 rumah, Jumlah Kamar: 15, Kapasitas: 50 orang",Pokdarwis dan Desa Wisata,60 Km,"Baik dan rusak, Panjang jalan rusak 1 Km",Ada,placeholder.jpg
Banjarnegara,Delta Dantana(Desa Wisata Dawuhan),Tubing Sungai Panaraban,Desa Wisata dengan sungai panaraban yang jernih dengan debit air yang tinggi dan pemandangan alam yang indah dengan suasana alam pedesaan yang masih alami.,Desa Dawuhan Kecamatan Wanayasa,Berkembang,Tidak Ada,"Nasi Jagung, Jui Kempit, Buntil, Kluban/uraban",Kerajinan tangan dari limbah plastik,"Rodad, Kuda Kepang, Lik-likan","25, Jumlah Kamar: 40",Pokdarwis dan BUMDES Delta Dantana,36 Km,"Baik dan Rusak, Panjang jalan rusak: 3 Km",Ada,placeholder.jpg
Banjarnegara,Dewi Gita (Desa Giritirta),Air Terjun dan Air Panas,"Desa wisata yang memiliki potensi wisata alam curug genting, curug mrawu dan 2 sumber air panas, berada di pegunungan sehingga bercuaca dingin dan sejuk.","Desa Giritirta Kecamatan Pejawaran",Berkembang,Tidak Ada,"Manisan waluh, Susu kedelai, Keripik talas",Kerajinan bambu dan batu,"Jepin, Tari Dewi Gita dan Kuda kepang","7 rumah, Jumlah Kamar: 14 Kapasitas: 25 orang",Pokdarwis Dewi Gita,40 Km,"Baik dan Rusak, panjang jalan rusak 2 km",Ada,placeholder.jpg
Banjarnegara,Tuk Kumala (Desa Kalilunjar),Bukit Asmara Situk (BAS),Desa Wisata Tuk Kumala adalah desa wisata yang sedang berkembang pesat dengan daya tarik wahana istana diatas awan dengan pemandangan alam yang sangat indah dan wisata budaya tradisi yang unik yaitu boyong oyod genggong.,Desa Kalilunjar Jl. Raya Banjarnegara-Karangkobar Kecamatan Banjarmangu,Berkembang,Event Uyud Genggong,Kerupuk Salak,Pembuatan Tenong,"Kuda Kepang, Tari tradisional, Tek-tek","10 rumah, Jumlah Kamar: 20 Kapasitas: 40 orang",Pokdarwis Tuk Kumala dan BUMDES,36 km,"Baik/ rusak, Panjang jalan rusak: 1 km",Ada,placeholder.jpg
Banjarnegara,Candradimuka (Desa Pekasiran),"Sumur Jalatunda, Kawah Candradimuka, Telaga Dringo",desa yang terletak di kecamatan Batur dan masih termasuk objek wisata zona II Dieng Plateau,"Desa Pekasiran Kecamatan Batur, Kab. Banjarnegara",Berkembang,Tidak Ada,Demplo (Nasi jagung aneka rasa),Kerajinan tangan dari akar pakis,"Rodad, Tek-tek, Pencak silat, Jepin","3 rumah, Jumlah Kamar: 6 Kapasitas: 12 orang",Pokdarwis dan BUMDES,50 Km,Baik,Ada,placeholder.jpg
Banjarnegara,Dieng Pandawa (Dieng Kulon),"Landscape Pegunungan, Kawah Sikidang, Bukit Sekoter, Bukit Pangonan","Desa yang terletak di 2093 dpl dengan suhu yang sejuk dan awan yang selalu datang dikenal dengan Negeri Atas Awan dan tempat dewa bersemayam.","Desa Dieng Kulon Kecamatan Batur, Kab. Banjarnegara",Berkembang,DCF (Dieng Culture Festival) Pencukuran Rambut Gimbal,"Carica, Purwaceng, Sate domba dieng","Miniatur Candi, Batik Kayu","Lengger, Rampak Yakso","210 rumah, Jumlah Kamar: 740 Kapasitas 1500 orang",Pokdarwis Dieng Pandawa,60 Km,Baik,Ada,placeholder.jpg
Banjarnegara,Kepakisan (Murih Raharjo),"Pemandian Air Panas, Telaga Sewiwi, Kawah Sileri","Desa yang terletak di dataran tinggi terdapat Kawah sileri berada di sebelah barat laut Candi Arjuna, Telaga Warna, Telaga Sewiwi (Rest Area bagi yang berkunjung ke Dieng).","Desa Kepakisan Kecamatan Batur, Kab. Banjarnegara",Berkembang,Tidak Ada,Sirup Carica,Tidak Ada,"Drumband, Tek-Tek","20 rumah, Jumlah Kamar: 40 Kapasitas 80 orang",Pokdarwis Kepakisan,55 Km,Baik,Ada,placeholder.jpg
Banjarnegara,Salamerta,Keindahan Alam,Desa dengan daya tarik wisata pemandangan alam pegunungan dan kesenian kuda kepang,"Desa Salamerta, Kecamatan Mandiraja, Kabupaten Banjarnegara",Berkembang,Tidak Ada,"Nasi Krekel, Emping Melinjo",Piti/Besek,Kuda Kepang,"ada rumah, Jumlah Kamar: 10 kamar",Pokdarwis Wayang Sakti,35 Km,"Rusak, Panjang jalan rusak 2 km",Ada,placeholder.jpg
Banjarnegara,"Desa Wisata Pagak, Rawa Lutung Tours","Ekowisata, Agro wisata",Desa Wisata Pagak yang berbasis Pertanian dengan teknologi modern dan wisata edukasi serta wahana bermain,Desa Pagak Kecamatan Mandiraja,Berkembang,Tidak Ada,"Sroto, ampyang gulung, getuk lindri, templek","Dithi, pot bunga, kurungan ayam, gubeng",Gumbeng,"2 rumah, Jumlah Kamar: 1 kamar",Pokdarwis/BUMDES,35 Km,Baik,Ada,placeholder.jpg
Banjarnegara,Nimang sari Desa Glempang Kecamatan Mandiraja,"Bukit Watu Sodong, Curug Pete",Desa wisata yang memiliki kebun buah yang terus berkembang menjadi daya tarik wisata agro dan wisata alam,Desa Glempang Kecamatan Mandiraja,Berkembang,Tidak Ada,"Nasi Oyek/leye, ikan Kali, Lalap/Kluban Urab",Kerajinan Patung dari Semen,"Lengger, Kuda Lumping",Tidak Ada,Tidak Ada,35 Km,Baik,Ada,placeholder.jpg
